#  Printing Reflectance, Absorptance by layers and Transmittance (input statement at line 58)
#  Simulation date:
#    Mon Jul 10 14:26:27 2023
# Reflectance, Absorptance by layers and Transmittance
# Wavelenght [m]	Reflectance, Absorptance for each layer, Transmittance [] 
#  lambda	Reflectance	Layer  0	Layer  1	Layer  2	Layer  3	Layer  4	Layer  5	Layer  6	Transmittance	Sum
5.300000e-007	6.981291e-002	0.000000e+000	3.458291e-003	1.009405e-002	9.159988e-001	3.522263e-004	4.656737e-006	2.803052e-004	5.619963e-013	1.000001e+000
5.350000e-007	7.181037e-002	0.000000e+000	3.544836e-003	9.046439e-003	9.148348e-001	4.002360e-004	5.880928e-006	3.585489e-004	6.260044e-013	1.000001e+000
5.400000e-007	7.554928e-002	0.000000e+000	3.639679e-003	7.968421e-003	9.119501e-001	4.401907e-004	7.227803e-006	4.462281e-004	6.804688e-013	1.000001e+000
5.450000e-007	8.058398e-002	0.000000e+000	3.741528e-003	6.963063e-003	9.076921e-001	4.741838e-004	8.668048e-006	5.374534e-004	7.284653e-013	1.000001e+000
5.500000e-007	8.590279e-002	0.000000e+000	3.848621e-003	5.942764e-003	9.031662e-001	4.967960e-004	1.017216e-005	6.335674e-004	7.649617e-013	1.000001e+000
5.550000e-007	9.037940e-002	0.000000e+000	3.966950e-003	5.101657e-003	8.993250e-001	5.172915e-004	1.175901e-005	7.008581e-004	8.241592e-013	1.000003e+000
5.600000e-007	9.296080e-002	0.000000e+000	4.077341e-003	4.296822e-003	8.973624e-001	5.276045e-004	1.338854e-005	7.636571e-004	8.759717e-013	1.000002e+000
5.650000e-007	9.298180e-002	0.000000e+000	4.171799e-003	3.705119e-003	8.977701e-001	5.355552e-004	1.507129e-005	8.215573e-004	9.207085e-013	1.000001e+000
5.700000e-007	9.023665e-002	0.000000e+000	4.247149e-003	3.170817e-003	9.009172e-001	5.354827e-004	1.679938e-005	8.751677e-004	9.597478e-013	9.999993e-001
5.750000e-007	8.501770e-002	0.000000e+000	4.313958e-003	2.816689e-003	9.063667e-001	5.406585e-004	1.857568e-005	9.246676e-004	9.938726e-013	9.999990e-001
5.800000e-007	7.804373e-002	0.000000e+000	4.360877e-003	2.506936e-003	9.135560e-001	5.401187e-004	2.039895e-005	9.700824e-004	1.023626e-012	9.999981e-001
5.850000e-007	7.030153e-002	0.000000e+000	4.387513e-003	2.320907e-003	9.213693e-001	5.379158e-004	2.229440e-005	1.058026e-003	1.038966e-012	9.999975e-001
5.900000e-007	6.290130e-002	0.000000e+000	4.404649e-003	2.155264e-003	9.288336e-001	5.304465e-004	2.422061e-005	1.147540e-003	1.049930e-012	9.999971e-001
5.950000e-007	5.690259e-002	0.000000e+000	4.422152e-003	2.061702e-003	9.348178e-001	5.149526e-004	2.615328e-005	1.251578e-003	1.053737e-012	9.999969e-001
6.000000e-007	5.322424e-002	0.000000e+000	4.445260e-003	1.968107e-003	9.384802e-001	4.939300e-004	2.808094e-005	1.357204e-003	1.053203e-012	9.999970e-001
6.050000e-007	5.247985e-002	0.000000e+000	4.493065e-003	1.909230e-003	9.391499e-001	4.718833e-004	3.001571e-005	1.463453e-003	1.048391e-012	9.999973e-001
6.100000e-007	5.499365e-002	0.000000e+000	4.559171e-003	1.838165e-003	9.365598e-001	4.451929e-004	3.192163e-005	1.569966e-003	1.039854e-012	9.999978e-001
6.150000e-007	6.073796e-002	0.000000e+000	4.643766e-003	1.779614e-003	9.307223e-001	4.265416e-004	3.385204e-005	1.654303e-003	1.036045e-012	9.999984e-001
6.200000e-007	6.942903e-002	0.000000e+000	4.753045e-003	1.705047e-003	9.219341e-001	4.047679e-004	3.575997e-005	1.737236e-003	1.029587e-012	9.999990e-001
